collected_date,cumulative_school_related_cases,cumulative_school_related_student_cases,cumulative_school_related_staff_cases
2020-09-10,13,4,9
2020-09-11,15,5,10
2020-09-14,29,9,14
2020-09-15,41,15,18
2020-09-16,62,20,22
2020-09-17,72,25,22
2020-09-18,90,33,26
2020-09-21,141,59,33
2020-09-22,180,77,38
2020-09-23,210,101,40
2020-09-24,238,110,50
2020-09-25,272,137,52
2020-09-28,307,164,44
2020-09-29,342,188,48
2020-09-30,447,233,82
2020-10-01,483,262,84
2020-10-02,539,293,92
2020-10-05,611,333,102
2020-10-06,722,402,117
2020-10-07,822,453,139
2020-10-08,876,482,149
2020-10-09,948,531,157
2020-10-13,1040,580,168
2020-10-14,1145,635,184
2020-10-15,1242,690,195
2020-10-16,1310,736,202
2020-10-19,1429,810,223
2020-10-20,1569,874,235
2020-10-21,1641,920,241
2020-10-22,1698,946,245
2020-10-23,1770,985,249
2020-10-26,1910,1063,261
2020-10-27,2001,1103,274
2020-10-28,2098,1157,283
2020-10-29,2159,1197,287
2020-10-30,2228,1238,293
2020-11-02,2360,1318,306
2020-11-03,2476,1399,313
2020-11-04,2543,1435,320
2020-11-05,2628,1484,328
2020-11-06,2707,1523,341
2020-11-09,2865,1626,363
2020-11-10,3063,1743,383
2020-11-11,3166,1794,397
2020-11-12,3282,1850,410
2020-11-13,3387,1913,423
2020-11-16,3518,1985,445
2020-11-17,3626,2077,461
2020-11-18,3710,2147,476
2020-11-19,3803,2209,507
2020-11-20,3870,2267,516
2020-11-23,4170,2516,568
2020-11-24,4269,2609,573
2020-11-25,4349,2673,589
2020-11-26,4470,2769,614
2020-11-27,4573,2855,630
2020-11-30,4872,3107,677
2020-12-01,5024,3234,702
2020-12-02,5146,3330,728
2020-12-03,5266,3425,753
2020-12-04,5402,3531,783
2020-12-07,5736,3813,835
2020-12-08,5919,3966,865
2020-12-09,6059,4076,893
2020-12-10,6217,4212,915
2020-12-11,6356,4330,935
2020-12-14,6664,4594,977
2020-12-15,6847,4743,1010
2020-12-16,7016,4884,1037
2020-12-17,7151,4996,1060
2020-12-18,7292,5103,1094
2021-01-11,7319,5137,1093
2021-01-12,7315,5133,1093
2021-01-13,7312,5130,1093
2021-01-14,7312,5130,1093
2021-01-15,7315,5132,1094
2021-01-18,7321,5133,1096
2021-01-19,7322,5133,1097
2021-01-20,7324,5134,1098
2021-01-21,7324,5133,1096
2021-01-22,7335,5133,1097
2021-01-25,7347,5139,1097
2021-01-26,7349,5139,1097
2021-01-27,7351,5140,1097
2021-01-28,7352,5141,1097
2021-01-29,7359,5146,1098
2021-02-01,7381,5161,1102
2021-02-02,7392,5167,1107
2021-02-03,7398,5172,1108
2021-02-04,7398,5172,1107
2021-02-05,7398,5174,1105
2021-02-08,7442,5203,1114
2021-02-09,7467,5224,1118
2021-02-10,7491,5242,1124
2021-02-11,7519,5264,1130
2021-02-12,7535,5285,1125
2021-02-16,7612,5356,1131
2021-02-17,7700,5419,1156
2021-02-18,7755,5465,1165
2021-02-19,7998,5560,1312
2021-02-22,8169,5706,1333
2021-02-23,8282,5797,1352
2021-02-24,8361,5865,1365
2021-02-25,8452,5946,1375
2021-02-26,8563,6043,1387
2021-03-01,8813,6262,1417
2021-03-02,8952,6379,1438
2021-03-03,9049,6455,1456
2021-03-04,9143,6539,1466
2021-03-05,9233,6618,1477
2021-03-08,9501,6832,1522
2021-03-09,9681,6984,1546
2021-03-10,9809,7090,1569
2021-03-11,9949,7189,1610
2021-03-12,10052,7277,1621
2021-03-15,10421,7581,1686
2021-03-16,10586,7719,1715
2021-03-17,10751,7858,1740
2021-03-18,10882,7967,1762
2021-03-19,11025,8086,1785
2021-03-22,11443,8424,1864
2021-03-23,11682,8617,1909
2021-03-24,11840,8737,1947
2021-03-25,12017,8883,1978
2021-03-26,12237,9053,2021
2021-03-29,12750,9486,2100
